cve_id,cvss_base_score,days_since_disclosure,cwe_ids,exploit_available,public_facing,data_sensitivity,has_patch,attack_vector_ADJACENT_NETWORK,attack_vector_LOCAL,attack_vector_NETWORK,attack_vector_PHYSICAL,attack_complexity_HIGH,attack_complexity_LOW,privileges_required_HIGH,privileges_required_LOW,privileges_required_NONE,user_interaction_NONE,user_interaction_REQUIRED,scope_CHANGED,scope_UNCHANGED,confidentiality_impact_HIGH,confidentiality_impact_LOW,confidentiality_impact_NONE,integrity_impact_HIGH,integrity_impact_LOW,integrity_impact_NONE,availability_impact_HIGH,availability_impact_LOW,availability_impact_NONE,risk_score
CVE-2012-1891,9.8,0,"CWE-119,CWE-908",1,1,1,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,10.0
CVE-2012-0911,9.8,0,CWE-502,1,0,1,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.25
CVE-2012-1342,5.8,0,CWE-863,0,0,1,1,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,4.65
CVE-2012-2806,8.8,0,"CWE-787,CWE-787",1,1,0,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,9.52
CVE-2012-1856,8.8,0,Unknown,0,0,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,5.8500000000000005
CVE-2012-1535,7.8,0,"CWE-20,CWE-94",0,0,2,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,5.78
CVE-2012-3503,9.8,0,CWE-798,1,1,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,10.0
CVE-2010-5153,5.3,0,"CWE-362,CWE-94",0,0,1,0,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,4.45
CVE-2010-5159,7.0,0,"CWE-362,CWE-362",0,1,1,0,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,6.130000000000001
CVE-2010-5160,4.5,0,"CWE-362,CWE-362",0,1,1,0,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,5.13
CVE-2010-5164,5.3,0,"CWE-362,CWE-94",0,0,0,0,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,4.12
CVE-2010-5169,7.0,0,"CWE-362,CWE-362",0,0,0,0,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,4.800000000000001
CVE-2010-5175,4.8,0,"CWE-362,CWE-362",0,1,0,1,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,4.92
CVE-2010-5181,7.0,0,"CWE-362,CWE-362",1,0,2,0,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,8.46
CVE-2012-4681,9.8,0,CWE-284,1,0,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.92
CVE-2012-2993,5.9,0,"CWE-295,CWE-295",0,0,0,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,4.36
